Time,Volts
0.02,2.1926341594061
0.04,4.30084823644436
0.06,4.46397969520881
0.08,3.50608537856882
0.1,1.50585885507757
0.12,2.21517895247034
0.14,1.05382878424891
0.16,4.3760828837189
0.18,3.26490244292632
0.2,4.13276990351623
0.22,2.11275006034209
0.24,5.76658445550075
0.26,5.72538337376993
0.28,2.81424997458113
0.3,1.33409796740904
0.32,1.97864117959913
0.34,3.02125398959645
0.36,2.9106740843114
0.38,2.00848347830949
0.4,3.45892637260348
0.42,2.38641323131423
0.44,1.07721776567276
0.46,2.57264575580537
0.48,2.90281971616317
0.5,4.50057478325845
0.52,1.79800605253318
0.54,3.13770002287768
0.56,3.41070718790655
0.58,-0.200201339126945
0.6,3.60596592082413
0.62,1.56225088597701
0.64,2.51052472220043
0.66,6.71804344440626
0.68,5.30861407810878
0.7,4.24051634385765
0.72,2.76061916116852
0.74,1.71341737637562
0.76,3.59753094961881
0.78,2.66278673618451
0.8,1.02799853441559
0.82,2.96730470108176
0.84,1.67990948850832
0.86,4.66296070928578
0.88,2.30379260859803
0.9,3.99685378707187
0.92,2.20479282267276
0.94,3.06136399480585
0.96,3.23258086370587
0.98,2.51837252765648
1,6.21872200665604
1.02,4.20060983587708
1.04,4.79440737654157
1.06,6.14631957398309
1.08,3.5815725230331
1.1,4.56797730224159
1.12,0.942260485028085
1.14,1.56238926655426
1.16,-1.00340993946096
1.18,1.79597222715162
1.2,2.32347608006591
1.22,1.89512768405805
1.24,4.67205593326883
1.26,1.71997495459467
1.28,1.86187221221938
1.3,3.14696700148771
1.32,1.72556559641762
1.34,3.84105396997885
1.36,2.47875331651739
1.38,5.0562865476307
1.4,4.11153402363518
1.42,1.93067945867577
1.44,4.20708492716915
1.46,4.46643856058972
1.48,4.40935168202471
1.5,-0.394373952113829
1.52,2.22947190468691
1.54,0.01579118721844
1.56,5.51727428579591
1.58,3.53804172391116
1.6,2.61999911704796
1.62,1.27969802042519
1.64,1.94867626312306
1.66,2.03183489586522
1.68,4.17281469320824
1.7,3.47349557946561
1.72,4.91162616985795
1.74,2.88823560611074
1.76,-0.455420807996966
1.78,4.47835459310871
1.8,4.53536652476136
1.82,3.19735316857991
1.84,3.90308326399858
1.86,2.98977852412552
1.88,3.13206850577634
1.9,2.82753986197891
