#Digilent WaveForms Logger
#Device Name: Analog Discovery Studio
#Serial Number: SN:210415B1A0BE
#Date Time: 2026-09-09 14:05:12
#Sample rate: 20Hz
#Samples: 200
Time (s),Channel 1 (V)
0.000000,1.649796
0.050000,1.648622
0.100000,1.656141
0.150000,1.645974
0.200000,1.644797
0.250000,1.642147
0.300000,1.644519
0.350000,1.647391
0.400000,1.650376
0.450000,1.645589
0.500000,1.642619
0.550000,1.654243
0.600000,1.654746
0.650000,1.640003
0.700000,1.650264
0.750000,1.661310
0.800000,1.653321
0.850000,1.647690
0.900000,1.646064
0.950000,1.648408
1.000000,1.648483
1.050000,1.649275
1.100000,1.663515
1.150000,1.649564
1.200000,1.649415
1.250000,1.645888
1.300000,1.646700
1.350000,1.649910
1.400000,1.642541
1.450000,1.649513
1.500000,1.651607
1.550000,1.649288
1.600000,1.646860
1.650000,1.650889
1.700000,1.646052
1.750000,1.651369
1.800000,1.651215
1.850000,1.656987
1.900000,1.652376
1.950000,1.652822
2.000000,1.653484
2.050000,1.644774
2.100000,1.652917
2.150000,1.643682
2.200000,1.640360
2.250000,1.643883
2.300000,1.645847
2.350000,1.647452
2.400000,1.650257
2.450000,1.645541
2.500000,1.650316
2.550000,1.645227
2.600000,1.640483
2.650000,1.653845
2.700000,1.645174
2.750000,1.652744
2.800000,1.657408
2.850000,1.644545
2.900000,1.650937
2.950000,1.638569
3.000000,1.646852
3.050000,1.647910
3.100000,1.641695
3.150000,1.653487
3.200000,1.655271
3.250000,1.645693
3.300000,1.647046
3.350000,1.651295
3.400000,1.659520
3.450000,1.646619
3.500000,1.653605
3.550000,1.649943
3.600000,1.643810
3.650000,1.650856
3.700000,1.651887
3.750000,1.650752
3.800000,1.644754
3.850000,1.647298
3.900000,1.650289
3.950000,1.651403
4.000000,1.656504
4.050000,1.646533
4.100000,1.649193
4.150000,1.650120
4.200000,1.654001
4.250000,1.657757
4.300000,1.646457
4.350000,1.651613
4.400000,1.657974
4.450000,1.645028
4.500000,1.646201
4.550000,1.644340
4.600000,1.647879
4.650000,1.646652
4.700000,1.652324
4.750000,1.653369
4.800000,1.639992
4.850000,1.650929
4.900000,1.657236
4.950000,1.640726
5.000000,1.652669
5.050000,1.647394
5.100000,1.657318
5.150000,1.650153
5.200000,1.649890
5.250000,1.646628
5.300000,1.648879
5.350000,1.651209
5.400000,1.657732
5.450000,1.648765
5.500000,1.662390
5.550000,1.640110
5.600000,1.646554
5.650000,1.652109
5.700000,1.649044
5.750000,1.657617
5.800000,1.648288
5.850000,1.655038
5.900000,1.655117
5.950000,1.642375
6.000000,1.645725
6.050000,1.651431
6.100000,1.647145
6.150000,1.645407
6.200000,1.642028
6.250000,1.655301
6.300000,1.656466
6.350000,1.649194
6.400000,1.665143
6.450000,1.643676
6.500000,1.647214
6.550000,1.649473
6.600000,1.645572
6.650000,1.662026
6.700000,1.648679
6.750000,1.647503
6.800000,1.650848
6.850000,1.649609
6.900000,1.648876
6.950000,1.644753
7.000000,1.645168
7.050000,1.651812
7.100000,1.651185
7.150000,1.658727
7.200000,1.646133
7.250000,1.640164
7.300000,1.645704
7.350000,1.646177
7.400000,1.646436
7.450000,1.648434
7.500000,1.652075
7.550000,1.654933
7.600000,1.645805
7.650000,1.655823
7.700000,1.646345
7.750000,1.642766
7.800000,1.652834
7.850000,1.648677
7.900000,1.639328
7.950000,1.651982
8.000000,1.645247
8.050000,1.651998
8.100000,1.654734
8.150000,1.645445
8.200000,1.657892
8.250000,1.648073
8.300000,1.656577
8.350000,1.647091
8.400000,1.646800
8.450000,1.648428
8.500000,1.640017
8.550000,1.657742
8.600000,1.645627
8.650000,1.651535
8.700000,1.646201
8.750000,1.658384
8.800000,1.642560
8.850000,1.653487
8.900000,1.648056
8.950000,1.654099
9.000000,1.648758
9.050000,1.641908
9.100000,1.651331
9.150000,1.642098
9.200000,1.637459
9.250000,1.654160
9.300000,1.652887
9.350000,1.645763
9.400000,1.659405
9.450000,1.658213
9.500000,1.653569
9.550000,1.654378
9.600000,1.665090
9.650000,1.646326
9.700000,1.642366
9.750000,1.654167
9.800000,1.643974
9.850000,1.645524
9.900000,1.651359
9.950000,1.644913
