#Digilent WaveForms Logger
#Device Name: Analog Discovery Studio
#Serial Number: SN:210415B1A0BE
#Date Time: 2026-09-09 14:05:12
#Sample rate: 20Hz
#Samples: 200
Time (s),Channel 1 (V)
0.000000,2.641147
0.050000,2.647346
0.100000,2.643869
0.150000,2.660232
0.200000,2.653515
0.250000,2.644530
0.300000,2.647585
0.350000,2.651126
0.400000,2.644511
0.450000,2.640002
0.500000,2.652408
0.550000,2.647722
0.600000,2.645947
0.650000,2.649416
0.700000,2.636979
0.750000,2.652075
0.800000,2.645439
0.850000,2.650528
0.900000,2.643994
0.950000,2.644684
1.000000,2.636167
1.050000,2.647769
1.100000,2.643536
1.150000,2.648166
1.200000,2.637316
1.250000,2.649861
1.300000,2.651432
1.350000,2.649884
1.400000,2.631849
1.450000,2.642863
1.500000,2.637750
1.550000,2.645460
1.600000,2.637503
1.650000,2.645049
1.700000,2.636690
1.750000,2.647921
1.800000,2.647851
1.850000,2.643695
1.900000,2.636499
1.950000,2.635542
2.000000,2.651426
2.050000,2.643073
2.100000,2.662187
2.150000,2.651628
2.200000,2.636577
2.250000,2.647664
2.300000,2.654760
2.350000,2.643231
2.400000,2.648501
2.450000,2.647431
2.500000,2.653549
2.550000,2.646430
2.600000,2.643094
2.650000,2.640157
2.700000,2.642528
2.750000,2.633300
2.800000,2.646807
2.850000,2.642978
2.900000,2.642996
2.950000,2.643025
3.000000,2.652513
3.050000,2.647679
3.100000,2.652380
3.150000,2.657603
3.200000,2.653156
3.250000,2.644280
3.300000,2.642599
3.350000,2.652121
3.400000,2.645460
3.450000,2.636776
3.500000,2.647968
3.550000,2.643981
3.600000,2.643638
3.650000,2.650657
3.700000,2.654178
3.750000,2.633690
3.800000,2.642810
3.850000,2.649383
3.900000,2.638501
3.950000,2.651314
4.000000,2.646589
4.050000,2.654938
4.100000,2.646863
4.150000,2.640028
4.200000,2.645310
4.250000,2.645659
4.300000,2.654310
4.350000,2.642586
4.400000,2.648928
4.450000,2.649452
4.500000,2.650015
4.550000,2.650694
4.600000,2.648253
4.650000,2.648073
4.700000,2.640981
4.750000,2.656651
4.800000,2.637770
4.850000,2.639292
4.900000,2.645161
4.950000,2.642259
5.000000,2.655389
5.050000,2.644742
5.100000,2.652895
5.150000,2.651930
5.200000,2.654018
5.250000,2.645891
5.300000,2.652169
5.350000,2.645665
5.400000,2.649484
5.450000,2.645262
5.500000,2.650843
5.550000,2.649156
5.600000,2.661560
5.650000,2.651496
5.700000,2.652014
5.750000,2.641015
5.800000,2.632106
5.850000,2.652021
5.900000,2.643651
5.950000,2.643523
6.000000,2.641980
6.050000,2.656203
6.100000,2.639079
6.150000,2.645684
6.200000,2.631716
6.250000,2.648315
6.300000,2.650151
6.350000,2.645552
6.400000,2.638808
6.450000,2.648338
6.500000,2.648216
6.550000,2.634721
6.600000,2.646272
6.650000,2.647610
6.700000,2.654172
6.750000,2.654404
6.800000,2.654036
6.850000,2.656015
6.900000,2.640103
6.950000,2.639875
7.000000,2.652373
7.050000,2.640051
7.100000,2.645820
7.150000,2.639359
7.200000,2.632441
7.250000,2.659276
7.300000,2.649242
7.350000,2.640386
7.400000,2.648358
7.450000,2.648271
7.500000,2.628801
7.550000,2.656593
7.600000,2.641845
7.650000,2.642954
7.700000,2.650282
7.750000,2.634694
7.800000,2.654747
7.850000,2.652805
7.900000,2.640679
7.950000,2.645556
8.000000,2.646933
8.050000,2.656026
8.100000,2.640035
8.150000,2.646072
8.200000,2.638098
8.250000,2.643944
8.300000,2.631614
8.350000,2.628621
8.400000,2.637655
8.450000,2.643101
8.500000,2.654437
8.550000,2.636381
8.600000,2.639858
8.650000,2.652419
8.700000,2.643080
8.750000,2.650484
8.800000,2.644626
8.850000,2.655381
8.900000,2.641855
8.950000,2.645435
9.000000,2.642337
9.050000,2.648025
9.100000,2.655146
9.150000,2.655227
9.200000,2.639016
9.250000,2.640065
9.300000,2.648296
9.350000,2.636997
9.400000,2.655518
9.450000,2.637486
9.500000,2.644784
9.550000,2.660382
9.600000,2.640861
9.650000,2.648914
9.700000,2.656272
9.750000,2.651200
9.800000,2.647088
9.850000,2.644220
9.900000,2.639962
9.950000,2.635571
