# Time (s),Channel 1 (V)
0.000000000000000000e+00,1.368364794635187787e+00
1.000000000000000021e-03,1.369235693513498164e+00
2.000000000000000042e-03,1.367983127039922753e+00
3.000000000000000062e-03,1.369400752442192504e+00
4.000000000000000083e-03,1.369479137052184159e+00
5.000000000000000104e-03,1.367278301615675096e+00
6.000000000000000125e-03,1.369370482769666442e+00
7.000000000000000146e-03,1.370097142915137844e+00
8.000000000000000167e-03,1.368115885766740814e+00
8.999999999999999320e-03,1.369995538811665803e+00
1.000000000000000021e-02,1.368231404525385164e+00
1.099999999999999936e-02,1.368377204641225253e+00
1.200000000000000025e-02,1.368181518031566624e+00
1.299999999999999940e-02,1.369434683038370792e+00
1.400000000000000029e-02,1.367740045674085581e+00
1.499999999999999944e-02,1.367543999499493124e+00
1.600000000000000033e-02,1.367102349613434908e+00
1.700000000000000122e-02,1.367497596023190320e+00
1.799999999999999864e-02,1.367976231793279096e+00
1.899999999999999953e-02,1.368473873359005166e+00
2.000000000000000042e-02,1.367675936464042286e+00
2.100000000000000130e-02,1.367181036494652391e+00
2.199999999999999872e-02,1.369118276074063001e+00
2.299999999999999961e-02,1.369202125067545239e+00
2.400000000000000050e-02,1.366744948945619820e+00
2.500000000000000139e-02,1.368455091395959000e+00
2.599999999999999881e-02,1.370296154619405016e+00
2.699999999999999969e-02,1.368964570663279590e+00
2.800000000000000058e-02,1.368026114046348329e+00
2.900000000000000147e-02,1.367755097705995126e+00
2.999999999999999889e-02,1.368145834348373446e+00
3.099999999999999978e-02,1.368158298780663529e+00
3.200000000000000067e-02,1.368290277171174019e+00
3.300000000000000155e-02,1.370663576819749263e+00
3.400000000000000244e-02,1.368338437597683033e+00
3.500000000000000333e-02,1.368313561098893016e+00
3.599999999999999728e-02,1.367725836661618066e+00
3.699999999999999817e-02,1.367861049477278046e+00
3.799999999999999906e-02,1.368396050331000646e+00
3.899999999999999994e-02,1.367167878023212158e+00
4.000000000000000083e-02,1.368329994620491430e+00
4.100000000000000172e-02,1.368678991259864919e+00
4.200000000000000261e-02,1.368292435436125665e+00
4.299999999999999656e-02,1.367887772424061232e+00
4.399999999999999745e-02,1.368559338519902413e+00
4.499999999999999833e-02,1.367753199131188202e+00
4.599999999999999922e-02,1.368639244661207011e+00
4.700000000000000011e-02,1.368613678906007936e+00
4.800000000000000100e-02,1.369575553746497087e+00
4.900000000000000189e-02,1.368807090099964263e+00
5.000000000000000278e-02,1.368881426600121465e+00
5.099999999999999672e-02,1.368991854588138990e+00
5.199999999999999761e-02,1.367540150541791011e+00
5.299999999999999850e-02,1.368897235347894092e+00
5.399999999999999939e-02,1.367358064926888384e+00
5.500000000000000028e-02,1.366804521607774880e+00
5.600000000000000117e-02,1.367391613175074516e+00
5.700000000000000205e-02,1.367718876444147913e+00
5.800000000000000294e-02,1.367986441060772274e+00
5.899999999999999689e-02,1.368454019050377557e+00
5.999999999999999778e-02,1.367667981196777571e+00
6.099999999999999867e-02,1.368463861482420940e+00
6.199999999999999956e-02,1.367615549532196884e+00
6.300000000000000044e-02,1.366824939871026823e+00
6.400000000000000133e-02,1.369051883389095003e+00
6.500000000000000222e-02,1.367606799368986659e+00
6.600000000000000311e-02,1.368868427664036602e+00
6.700000000000000400e-02,1.369645722544517996e+00
6.800000000000000488e-02,1.367501883635484194e+00
6.900000000000000577e-02,1.368567268900401812e+00
7.000000000000000666e-02,1.366505952518567213e+00
7.099999999999999367e-02,1.367886514881701876e+00
7.199999999999999456e-02,1.368062810813508001e+00
7.299999999999999545e-02,1.367026931745481511e+00
7.399999999999999634e-02,1.368992274484420735e+00
7.499999999999999722e-02,1.369289595429207029e+00
7.599999999999999811e-02,1.367693335634355911e+00
7.699999999999999900e-02,1.367918772210512168e+00
7.799999999999999989e-02,1.368626919846835266e+00
7.900000000000000078e-02,1.369997803875393938e+00
8.000000000000000167e-02,1.367847654081214781e+00
8.100000000000000255e-02,1.369011918147484685e+00
8.200000000000000344e-02,1.368401705967111637e+00
8.300000000000000433e-02,1.367379528579811820e+00
8.400000000000000522e-02,1.368553873923035180e+00
8.500000000000000611e-02,1.368725670116756055e+00
8.599999999999999312e-02,1.368536518648906908e+00
8.699999999999999400e-02,1.367536857074871381e+00
8.799999999999999489e-02,1.367960739427981576e+00
8.899999999999999578e-02,1.368459286701485533e+00
8.999999999999999667e-02,1.368644895956055763e+00
9.099999999999999756e-02,1.369495162286882284e+00
9.199999999999999845e-02,1.367833212290662237e+00
9.299999999999999933e-02,1.368276550511537293e+00
9.400000000000000022e-02,1.368431145317469344e+00
9.500000000000000111e-02,1.369077946499316356e+00
9.600000000000000200e-02,1.369704036904188849e+00
9.700000000000000289e-02,1.367820656176215843e+00
9.800000000000000377e-02,1.368679914421570443e+00
9.900000000000000466e-02,1.369740092949647714e+00
1.000000000000000056e-01,1.367582525425891538e+00
1.010000000000000064e-01,1.367777909827915250e+00
1.019999999999999934e-01,1.367467817144898401e+00
1.029999999999999943e-01,1.368057652279577541e+00
1.039999999999999952e-01,1.367853048185617260e+00
1.049999999999999961e-01,1.368798541804037372e+00
1.059999999999999970e-01,1.368972635532295090e+00
1.069999999999999979e-01,1.366743178311593088e+00
1.079999999999999988e-01,1.368566008516563626e+00
1.089999999999999997e-01,1.369617077645340242e+00
1.100000000000000006e-01,1.366865407988637537e+00
